object,motion,force,raw,voltage
beans,rotate,3,61262,3.0848
beans,rotate,3,60830,3.0631
beans,rotate,3,61118,3.0776
beans,rotate,3,60654,3.0542
beans,rotate,3,60910,3.0671
beans,rotate,3,61278,3.0856
beans,rotate,3,61150,3.0792
beans,rotate,3,61006,3.0719
beans,rotate,3,60686,3.0558
beans,rotate,3,61086,3.0760
beans,rotate,3,60542,3.0486
beans,rotate,3,61198,3.0816
beans,rotate,3,60814,3.0623
beans,rotate,3,60654,3.0542
beans,rotate,3,61455,3.0946
beans,rotate,3,61422,3.0929
beans,rotate,3,61358,3.0897
beans,rotate,3,61262,3.0848
beans,rotate,3,61599,3.1018
beans,rotate,3,61455,3.0946
beans,rotate,3,61118,3.0776
beans,rotate,3,61535,3.0986
beans,rotate,3,60862,3.0647
beans,rotate,3,60734,3.0582
beans,rotate,3,61086,3.0760
beans,rotate,3,61102,3.0768
beans,rotate,3,61070,3.0752
beans,rotate,3,60910,3.0671
ball,slide,1,960,0.0483
ball,slide,1,848,0.0427
ball,slide,1,864,0.0435
ball,slide,1,816,0.0411
ball,slide,1,784,0.0395
ball,slide,1,656,0.0330
ball,slide,1,656,0.0330
ball,slide,1,432,0.0218
ball,slide,1,336,0.0169
ball,slide,1,480,0.0242
ball,slide,1,288,0.0145
ball,slide,1,320,0.0161
ball,slide,1,320,0.0161
ball,slide,1,320,0.0161
ball,slide,1,384,0.0193
ball,slide,1,336,0.0169
ball,slide,1,304,0.0153
ball,slide,1,336,0.0169
ball,slide,1,432,0.0218
ball,slide,1,320,0.0161
ball,slide,1,336,0.0169
ball,slide,1,320,0.0161
ball,slide,1,304,0.0153
ball,slide,1,416,0.0209
ball,slide,1,320,0.0161
ball,slide,1,320,0.0161
ball,slide,1,336,0.0169
ball,slide,1,320,0.0161
ball,slide,1,336,0.0169
ball,slide,1,352,0.0177
ball,slide,1,304,0.0153
ball,slide,1,384,0.0193
ball,slide,1,320,0.0161
ball,slide,1,336,0.0169
ball,slide,1,320,0.0161
ball,slide,1,592,0.0298
ball,slide,1,640,0.0322
ball,slide,1,896,0.0451
ball,slide,1,896,0.0451
ball,slide,1,896,0.0451
ball,slide,1,832,0.0419
ball,slide,1,848,0.0427
ball,slide,1,704,0.0354
ball,slide,1,560,0.0282
ball,slide,1,480,0.0242
ball,slide,1,384,0.0193
ball,slide,1,320,0.0161
ball,slide,1,176,0.0089
ball,slide,1,320,0.0161
ball,slide,1,336,0.0169
ball,rotate,1,416,0.0209
ball,rotate,1,320,0.0161
ball,rotate,1,336,0.0169
ball,rotate,1,400,0.0201
ball,rotate,1,336,0.0169
